"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-04-02","2019","04","02","","9.3","","-1.6","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","T","21","","35",""
"2019-04-03","2019","04","03","","10.2","","-1.5","","4.4","","13.6","","0.0","","0.0","","0.2","","0.2","","0","T","26","","76",""
"2019-04-04","2019","04","04","","2.2","","-4.4","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","","","27","","68",""
"2019-04-05","2019","04","05","","4.5","","-7.4","","-1.5","","19.5","","0.0","","0.6","","3.0","","3.6","","0","T","16","","33",""
"2019-04-06","2019","04","06","","7.9","","1.0","","4.5","","13.5","","0.0","","1.4","","0.0","T","1.4","","0","T","28","","37",""
"2019-04-07","2019","04","07","","11.2","","1.4","","6.3","","11.7","","0.0","","0.6","","0.0","","0.6","","0","T","4","","46",""
"2019-04-08","2019","04","08","","1.4","","-3.0","","-0.8","","18.8","","0.0","","14.2","","0.4","","14.6","","0","T","4","","61",""
"2019-04-09","2019","04","09","","-0.2","","-3.0","","-1.6","","19.6","","0.0","","0.6","","10.4","","11.0","","0","T","2","","48",""
"2019-04-10","2019","04","10","","4.4","","-3.6","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","8","","26","","42",""
"2019-04-11","2019","04","11","","5.9","","-3.5","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","1","","30","","32",""
"2019-04-12","2019","04","12","","13.9","","2.1","","8.0","","10.0","","0.0","","0.4","","0.0","","0.4","","0","T","14","","46",""
"2019-04-13","2019","04","13","","17.1","","3.8","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","","","23","","72",""
"2019-04-14","2019","04","14","","8.8","","0.8","","4.8","","13.2","","0.0","","6.0","","0.0","","6.0","","","","4","","55",""
"2019-04-15","2019","04","15","","5.7","","2.3","","4.0","","14.0","","0.0","","2.2","","0.0","","2.2","","","","4","","59",""
"2019-04-16","2019","04","16","","10.0","","1.1","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","31","","52",""
"2019-04-17","2019","04","17","","13.9","","-2.2","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-04-18","2019","04","18","","16.0","","6.0","","11.0","","7.0","","0.0","","1.4","","0.0","","1.4","","","","15","","61",""
"2019-04-19","2019","04","19","","12.9","","4.6","","8.8","","9.2","","0.0","","31.0","","0.0","","31.0","","","","3","","58",""
"2019-04-20","2019","04","20","","7.1","","4.3","","5.7","","12.3","","0.0","","12.4","","0.0","","12.4","","","","4","","63",""
"2019-04-21","2019","04","21","","16.2","","3.4","","9.8","","8.2","","0.0","","0.0","","0.0","","0.0","","","","22","","37",""
"2019-04-22","2019","04","22","","18.7","","5.5","","12.1","","5.9","","0.0","","0.0","","0.0","","0.0","","","","3","","42",""
"2019-04-23","2019","04","23","","17.1","","6.2","","11.7","","6.3","","0.0","","3.2","","0.0","","3.2","","","","6","","48",""
"2019-04-24","2019","04","24","","8.3","","5.2","","6.8","","11.2","","0.0","","7.2","","0.0","","7.2","","","","23","","54",""
"2019-04-25","2019","04","25","","11.1","","4.3","","7.7","","10.3","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"2019-04-26","2019","04","26","","10.9","","4.8","","7.9","","10.1","","0.0","","22.6","","0.0","","22.6","","","","11","","52",""
"2019-04-27","2019","04","27","","7.8","","2.9","","5.4","","12.6","","0.0","","9.8","","0.0","","9.8","","","","27","","63",""
"2019-04-28","2019","04","28","","10.3","","1.8","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","","","28","","37",""
"2019-04-29","2019","04","29","","9.5","","-0.7","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","","","20","","32",""
"2019-04-30","2019","04","30","","14.2","","5.2","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","","","32","","37",""
"2019-05-01","2019","05","01","","8.4","","2.0","","5.2","","12.8","","0.0","","6.8","","0.0","","6.8","","","","4","","55",""
"2019-05-02","2019","05","02","","9.5","","2.4","","6.0","","12.0","","0.0","","0.6","","0.0","","0.6","","","","4","","46",""
"2019-05-03","2019","05","03","","10.4","","7.5","","9.0","","9.0","","0.0","","3.6","","0.0","","3.6","","","","","M","","M"
"2019-05-04","2019","05","04","","16.5","","8.0","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-05-05","2019","05","05","","20.3","","4.5","","12.4","","5.6","","0.0","","0.0","","0.0","","0.0","","","","9","","33",""
"2019-05-06","2019","05","06","","24.0","","9.5","","16.8","","1.2","","0.0","","0.0","T","0.0","","0.0","T","","","26","","37",""
"2019-05-07","2019","05","07","","18.6","","4.6","","11.6","","6.4","","0.0","","0.6","","0.0","","0.6","","","","1","","42",""
"2019-05-08","2019","05","08","","14.6","","1.9","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","","","22","","39",""
"2019-05-09","2019","05","09","","16.5","","3.2","","9.9","","8.1","","0.0","","14.2","","0.0","","14.2","","","","13","","50",""
"2019-05-10","2019","05","10","","17.7","","8.4","","13.1","","4.9","","0.0","","26.0","","0.0","","26.0","","","","24","","61",""
"2019-05-11","2019","05","11","","13.9","","5.0","","9.5","","8.5","","0.0","","0.0","T","0.0","","0.0","T","","","30","","41",""
"2019-05-12","2019","05","12","","17.1","","5.9","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","","","4","","41",""
"2019-05-13","2019","05","13","","15.9","","6.6","","11.3","","6.7","","0.0","","3.4","","0.0","","3.4","","","","5","","39",""
"2019-05-14","2019","05","14","","8.7","","5.4","","7.1","","10.9","","0.0","","2.6","","0.0","","2.6","","","","8","","42",""
"2019-05-15","2019","05","15","","15.2","","6.0","","10.6","","7.4","","0.0","","0.2","","0.0","","0.2","","","","20","","35",""
"2019-05-16","2019","05","16","","16.6","","7.3","","12.0","","6.0","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"2019-05-17","2019","05","17","","14.6","","9.2","","11.9","","6.1","","0.0","","0.8","","0.0","","0.8","","","","28","","41",""
"2019-05-18","2019","05","18","","15.9","","7.0","","11.5","","6.5","","0.0","","0.0","T","0.0","","0.0","T","","","22","","32",""
"2019-05-19","2019","05","19","","18.8","","10.1","","14.5","","3.5","","0.0","","12.2","","0.0","","12.2","","","","5","","37",""
"2019-05-20","2019","05","20","","23.0","","9.7","","16.4","","1.6","","0.0","","0.0","T","0.0","","0.0","T","","","23","","71",""
"2019-05-21","2019","05","21","","16.8","","7.3","","12.1","","5.9","","0.0","","0.6","","0.0","","0.6","","","","32","","63",""
"2019-05-22","2019","05","22","","19.1","","6.1","","12.6","","5.4","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"2019-05-23","2019","05","23","","20.8","","12.3","","16.6","","1.4","","0.0","","17.2","","0.0","","17.2","","","","35","","54",""
"2019-05-24","2019","05","24","","17.4","","10.2","","13.8","","4.2","","0.0","","2.0","","0.0","","2.0","","","","2","","41",""
"2019-05-25","2019","05","25","","21.2","","9.6","","15.4","","2.6","","0.0","","1.0","","0.0","","1.0","","","","15","","35",""
"2019-05-26","2019","05","26","","24.4","","12.2","","18.3","","0.0","","0.3","","1.0","","0.0","","1.0","","","","24","","50",""
"2019-05-27","2019","05","27","","16.9","","8.7","","12.8","","5.2","","0.0","","0.0","T","0.0","","0.0","T","","","23","","41",""
"2019-05-28","2019","05","28","","12.6","","7.5","","10.1","","7.9","","0.0","","2.0","","0.0","","2.0","","","","","M","","M"
"2019-05-29","2019","05","29","","16.3","","7.3","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-05-30","2019","05","30","","22.3","","10.9","","16.6","","1.4","","0.0","","2.2","","0.0","","2.2","","","","22","","46",""
"2019-05-31","2019","05","31","","15.8","","7.5","","11.7","","6.3","","0.0","","0.0","","0.0","","0.0","","","","28","","33",""
"2019-06-01","2019","06","01","","18.6","","9.8","","14.2","","3.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-06-02","2019","06","02","","18.1","","11.5","","14.8","","3.2","","0.0","","8.0","","0.0","","8.0","","","","25","","37",""
"2019-06-03","2019","06","03","","12.6","","7.0","","9.8","","8.2","","0.0","","0.0","T","0.0","","0.0","T","","","22","","65",""
"2019-06-04","2019","06","04","","18.1","","5.7","","11.9","","6.1","","0.0","","0.2","","0.0","","0.2","","","","22","","67",""
"2019-06-05","2019","06","05","","17.6","","9.6","","13.6","","4.4","","0.0","","0.8","","0.0","","0.8","","","","","M","","M"
"2019-06-06","2019","06","06","","23.6","","10.7","","17.2","","0.8","","0.0","","0.0","","0.0","","0.0","","","","2","","37",""
"2019-06-07","2019","06","07","","26.2","","8.3","","17.3","","0.7","","0.0","","0.0","","0.0","","0.0","","","","29","","50",""
"2019-06-08","2019","06","08","","23.4","","9.1","","16.3","","1.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-06-09","2019","06","09","","29.8","","12.7","","21.3","","0.0","","3.3","","0.0","","0.0","","0.0","","","","19","","32",""
"2019-06-10","2019","06","10","","30.0","","16.8","","23.4","","0.0","","5.4","","4.8","","0.0","","4.8","","","","16","","61",""
"2019-06-11","2019","06","11","","19.5","","10.0","","14.8","","3.2","","0.0","","20.6","","0.0","","20.6","","","","27","","68",""
"2019-06-12","2019","06","12","","24.3","","9.6","","17.0","","1.0","","0.0","","0.0","","0.0","","0.0","","","","21","","32",""
"2019-06-13","2019","06","13","","19.9","","13.1","","16.5","","1.5","","0.0","","1.8","","0.0","","1.8","","","","13","","58",""
"2019-06-14","2019","06","14","","17.4","","13.1","","15.3","","2.7","","0.0","","6.0","","0.0","","6.0","","","","22","","55",""
"2019-06-15","2019","06","15","","20.5","","13.6","","17.1","","0.9","","0.0","","6.4","","0.0","","6.4","","","","23","","76",""
"2019-06-16","2019","06","16","","21.2","","11.2","","16.2","","1.8","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"2019-06-17","2019","06","17","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","22","","35",""
"2019-06-18","2019","06","18","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","M","","M"
"2019-06-19","2019","06","19","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","3","","39",""
"2019-06-20","2019","06","20","","18.5","","15.5","","17.0","","1.0","","0.0","","5.6","","0.0","","5.6","","","","3","","46",""
"2019-06-21","2019","06","21","","25.6","","14.7","","20.2","","0.0","","2.2","","0.0","T","0.0","","0.0","T","","","36","","39",""
"2019-06-22","2019","06","22","","26.8","","16.0","","21.4","","0.0","","3.4","","0.0","","0.0","","0.0","","","","31","","52",""
"2019-06-23","2019","06","23","","28.1","","15.4","","21.8","","0.0","","3.8","","0.0","","0.0","","0.0","","","","28","","50",""
"2019-06-24","2019","06","24","","25.9","","12.1","","19.0","","0.0","","1.0","","0.0","","0.0","","0.0","","","","","","","M"
"2019-06-25","2019","06","25","","24.9","","17.3","","21.1","","0.0","","3.1","","17.2","","0.0","","17.2","","","","15","","33",""
"2019-06-26","2019","06","26","","28.8","","17.2","","23.0","","0.0","","5.0","","0.2","","0.0","","0.2","","","","32","","42",""
"2019-06-27","2019","06","27","","29.6","","18.4","","24.0","","0.0","","6.0","","1.2","","0.0","","1.2","","","","25","","46",""
"2019-06-28","2019","06","28","","29.8","","16.0","","22.9","","0.0","","4.9","","0.0","T","0.0","","0.0","T","","","24","","59",""
"2019-06-29","2019","06","29","","28.0","","17.0","","22.5","","0.0","","4.5","","14.6","","0.0","","14.6","","","","3","","45",""
"2019-06-30","2019","06","30","","24.4","","15.4","","19.9","","0.0","","1.9","","3.4","","0.0","","3.4","","","","31","","33",""
"2019-07-01","2019","07","01","","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","","","24","","37",""
"2019-07-02","2019","07","02","","29.9","","19.4","","24.7","","0.0","","6.7","","0.0","","0.0","","0.0","","","","26","","45",""
"2019-07-03","2019","07","03","","30.7","","18.7","","24.7","","0.0","","6.7","","0.0","","0.0","","0.0","","","","","","","M"
"2019-07-04","2019","07","04","","32.5","","19.2","","25.9","","0.0","","7.9","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-07-05","2019","07","05","","29.9","","21.1","","25.5","","0.0","","7.5","","3.8","","0.0","","3.8","","","","19","","55",""
"2019-07-06","2019","07","06","","30.0","","17.5","","23.8","","0.0","","5.8","","0.0","T","0.0","","0.0","T","","","29","","48",""
"2019-07-07","2019","07","07","","25.3","","14.6","","20.0","","0.0","","2.0","","0.0","","0.0","","0.0","","","","21","","33",""
"2019-07-08","2019","07","08","","27.8","","12.5","","20.2","","0.0","","2.2","","0.0","","0.0","","0.0","","","","25","","35",""
"2019-07-09","2019","07","09","","30.3","","16.8","","23.6","","0.0","","5.6","","0.0","","0.0","","0.0","","","","27","","41",""
"2019-07-10","2019","07","10","","30.9","","18.9","","24.9","","0.0","","6.9","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-07-11","2019","07","11","","28.7","","18.8","","23.8","","0.0","","5.8","","29.8","","0.0","","29.8","","","","28","","68",""
"2019-07-12","2019","07","12","","25.7","","18.4","","22.1","","0.0","","4.1","","0.0","","0.0","","0.0","","","","25","","39",""
"2019-07-13","2019","07","13","","27.4","","17.8","","22.6","","0.0","","4.6","","0.8","","0.0","","0.8","","","","28","","89",""
"2019-07-14","2019","07","14","","25.1","","17.5","","21.3","","0.0","","3.3","","0.0","","0.0","","0.0","","","","30","","46",""
"2019-07-15","2019","07","15","","27.2","","16.2","","21.7","","0.0","","3.7","","0.0","","0.0","","0.0","","","","20","","37",""
"2019-07-16","2019","07","16","","28.9","","17.9","","23.4","","0.0","","5.4","","0.0","T","0.0","","0.0","T","","","23","","48",""
"2019-07-17","2019","07","17","","29.0","","16.7","","22.9","","0.0","","4.9","","0.0","","0.0","","0.0","","","","24","","39",""
"2019-07-18","2019","07","18","","27.9","","15.4","","21.7","","0.0","","3.7","","0.0","","0.0","","0.0","","","","4","","37",""
"2019-07-19","2019","07","19","","31.8","","21.0","","26.4","","0.0","","8.4","","4.4","","0.0","","4.4","","","","24","","45",""
"2019-07-20","2019","07","20","","33.0","","23.3","","28.2","","0.0","","10.2","","0.0","T","0.0","","0.0","T","","","22","","48",""
"2019-07-21","2019","07","21","","30.4","","19.6","","25.0","","0.0","","7.0","","0.0","","0.0","","0.0","","","","29","","45",""
"2019-07-22","2019","07","22","","23.4","","16.3","","19.9","","0.0","","1.9","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-07-23","2019","07","23","","26.9","","16.1","","21.5","","0.0","","3.5","","0.0","","0.0","","0.0","","","","27","","39",""
"2019-07-24","2019","07","24","","24.4","","13.5","","19.0","","0.0","","1.0","","0.0","","0.0","","0.0","","","","27","","35",""
"2019-07-25","2019","07","25","","28.3","","13.6","","21.0","","0.0","","3.0","","0.0","T","0.0","","0.0","T","","","21","","32",""
"2019-07-26","2019","07","26","","31.2","","17.7","","24.5","","0.0","","6.5","","0.0","","0.0","","0.0","","","","21","","32",""
